Symbol,EG,Nd
H,2.2,0
He,,0
Li,0.98,0
Be,1.57,0
B,2.04,0
C,2.55,0
N,3.04,0
O,3.44,0
F,3.98,0
Ne,,0
Na,0.93,0
Mg,1.31,0
Al,1.61,0
Si,1.9,0
P,2.19,0
S,2.58,0
Cl,3.16,0
Ar,,0
K,0.82,0
Ca,1,0
Sc,1.36,1
Ti,1.54,2
V,1.63,3
Cr,1.66,5
Mn,1.55,5
Fe,1.83,6
Co,1.88,7
Ni,1.91,8
Cu,1.9,10
Zn,1.65,10
Ga,1.81,10
Ge,2.01,10
As,2.18,10
Se,2.55,10
Br,2.96,10
Kr,3,10
Rb,0.82,0
Sr,0.95,0
Y,1.22,1
Zr,1.33,2
Nb,1.6,4
Mo,2.16,5
Tc,1.9,5
Ru,2.2,7
Rh,2.28,8
Pd,2.2,10
Ag,1.93,10
Cd,1.69,10
In,1.78,10
Sn,1.96,10
Sb,2.05,10
Te,2.1,10
I,2.66,10
Xe,2.6,10
Cs,0.79,0
Ba,0.89,0
La,1.1,1
Ce,1.12,1
Pr,1.13,0
Nd,1.14,0
Pm,1.155,0
Sm,1.17,0
Eu,1.185,0
Gd,1.2,1
Tb,1.21,0
Dy,1.22,0
Ho,1.23,0
Er,1.24,0
Tm,1.25,0
Yb,1.26,0
Lu,1.27,1
Hf,1.3,2
Ta,1.5,3
W,2.36,4
Re,1.9,5
Os,2.2,6
Ir,2.2,7
Pt,2.28,9
Au,2.54,10
Hg,2,10
Tl,1.62,10
Pb,2.33,10
Bi,2.02,10
Po,2,10
At,2.2,10
Rn,,10
Fr,0.7,0
Ra,0.9,0
Ac,1.1,1
Th,1.3,2
Pa,1.5,1
U,1.38,1
Np,1.36,1
Pu,1.28,0
Am,1.3,0
Cm,1.3,1
Bk,1.3,0
Cf,1.3,0
Es,1.3,0
Fm,1.3,0
Md,1.3,0
No,1.3,0
Lr,,0
Rf,,2
Db,,3
Sg,,4
Bh,,5
Hs,,6
Mt,,7
Ds,,9
Rg,,10
Cn,,10
Nh,,
Fl,,
Mc,,
Lv,,
Ts,,
Og,,
